"Authors","Author full names","Author(s) ID","Title","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","ISSN","ISBN","CODEN","EID"
"Sabbir M.M.; Taufique K.M.R.","Sabbir, Md. Mahiuddin (57219907244); Taufique, Khan Md Raziuddin (55710965500)","57219907244; 55710965500","Sustainable employee green behavior in the workplace: Integrating cognitive and non-cognitive factors in corporate environmental policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112581396&doi=10.1002%2fbse.2877&partnerID=40&md5=ad82816bf2ae04512213c730b8488a44","Department of Marketing, Faculty of Business Studies, University of Barishal, Barishal, Bangladesh; Oxford Brookes Business School, Oxford Brookes University, Oxford, United Kingdom; Department of Marketing, Faculty of Business, Curtin University, Sarawak, Miri, Malaysia","Sabbir M.M., Department of Marketing, Faculty of Business Studies, University of Barishal, Barishal, Bangladesh; Taufique K.M.R., Oxford Brookes Business School, Oxford Brookes University, Oxford, United Kingdom, Department of Marketing, Faculty of Business, Curtin University, Sarawak, Miri, Malaysia","Sustaining employee green behavior (EGB) in the workplace requires an inclusive understanding of the factors that induce it. This study aims to bridge the gap of scarce research on task-related EGB by integrating both cognitive and non-cognitive factors as an extension to the theory of planned behavior. Task-related EGB refers to employees pro-environmental behaviors performed as part of routine tasks and roles. Using principal component analysis and structural equation modeling, the survey findings from 302 employee participants reveal that both cognitive and non-cognitive factors significantly influence the task-related EGB. In addition to this theoretical contribution, this study's findings suggest that creating positive environmental attitudes and habits via pro-environmental policies, procedures, and practices in the workplace can enhance employees' task-related EGB. The provision of access to information, training, and other resources regarding pro-environmental behavior in the workplace may also have an impact. Besides, the results validate the underexplored mediating role of environmental attitudes and pro-environmental habits between individual-level predictors and task-related EGB in the workplace. Lastly, this study's findings offer potential directions for further research in relation to EGB in the workplace. © 2021 ERP Environment and John Wiley & Sons Ltd.","","09644733","","","2-s2.0-85112581396"
"Dąbrowski L.S.; Środa-Murawska S.; Smoliński P.; Biegańska J.","Dąbrowski, Leszek S. (57203433553); Środa-Murawska, Stefania (35362926900); Smoliński, Paweł (57209570484); Biegańska, Jadwiga (35338927600)","57203433553; 35362926900; 57209570484; 35338927600","Rural–Urban Divide: Generation Z and Pro-Environmental Behaviour","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143796079&doi=10.3390%2fsu142316111&partnerID=40&md5=357a217891908e08c1ccf8c3824f2879","Interdisciplinary Doctoral School of Social Sciences, Nicolaus Copernicus University, Toruń, 87-100, Poland; Department of Urban and Regional Development Studies, Faculty of Earth Sciences and Spatial Management, Nicolaus Copernicus University, Toruń, 87-100, Poland","Dąbrowski L.S., Interdisciplinary Doctoral School of Social Sciences, Nicolaus Copernicus University, Toruń, 87-100, Poland; Środa-Murawska S., Department of Urban and Regional Development Studies, Faculty of Earth Sciences and Spatial Management, Nicolaus Copernicus University, Toruń, 87-100, Poland; Smoliński P., Interdisciplinary Doctoral School of Social Sciences, Nicolaus Copernicus University, Toruń, 87-100, Poland; Biegańska J., Department of Urban and Regional Development Studies, Faculty of Earth Sciences and Spatial Management, Nicolaus Copernicus University, Toruń, 87-100, Poland","Generation Z is the crucial cohort that will have to face the issues resulting from human impacts on the environment. The oldest members of this generation are now entering adulthood. Even though Generation Z is a global and homogeneous cohort, research indicates that the type of settlement unit where one lives may condition the emergence of intra-generational differences. The study focused on determining the pro-environmental behaviour (PEB) of Generation Z from the perspective of a former-socialist European country, Poland. We explored the motivational factors of Polish Generation Z towards their PEB and the actual PEB they undertake. We conducted focus-group interviews with 68 representatives of Generation Z, aged 16–19, living in villages, small towns, and medium-sized and large cities. The data obtained from the interviews were analysed in NVivo software by means of content analysis. Using the Theory of Planned Behaviour, we showed that the type of settlement unit determines pro-environmental attitudes and barriers to undertaking pro-environmental behaviour. © 2022 by the authors.","Generation Z; pro-environmental behaviour; rural–urban differences; theory of planned behaviour; youth","20711050","","","2-s2.0-85143796079"
"Bilynets I.; Knezevic Cvelbar L.","Bilynets, Iana (57217019411); Knezevic Cvelbar, Ljubica (24833097500)","57217019411; 24833097500","Tourist pro-environmental behaviour: The role of environmental image of destination and daily behaviour","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137280783&doi=10.1016%2fj.annale.2022.100070&partnerID=40&md5=2d8d5207fbe73ebbd7c78acd59311cce","School of Economics and Business, University of Ljubljana, Kardeljeva Ploscad 17, Ljubljana, 1000, Slovenia","Bilynets I., School of Economics and Business, University of Ljubljana, Kardeljeva Ploscad 17, Ljubljana, 1000, Slovenia; Knezevic Cvelbar L., School of Economics and Business, University of Ljubljana, Kardeljeva Ploscad 17, Ljubljana, 1000, Slovenia","Contextual impacts have a major role for the tourist pro-environmental behaviour at the destination, however, they remain under-researched. In this article, we explore the change in pro-environmental behaviour of tourists from daily to tourism context. We surveyed tourists asking them to evaluate the environmental image, their pro-environmental behaviour at the recently visited destination and in daily life, and then analysed data with t-test and regression analysis. The results show that: 1) most of the analysed pro-environmental behaviours get worse in the tourism context; 2) tourists, whose pro-environmental behaviour at home is above the average, behave better at the destination too; 3) perception of the destination as environmentally friendly is associated with better pro-environmental behaviour at the destination. © 2022 The Author(s)","Behavioural spillover; Contextual impacts; Daily behaviour; Environmental image; Pro-environmental behaviour; Tourists","26669579","","","2-s2.0-85137280783"
"Casado-Díaz A.B.; Sancho-Esper F.; Rodriguez-Sanchez C.; Sellers-Rubio R.","Casado-Díaz, Ana B. (17345221000); Sancho-Esper, Franco (57191193783); Rodriguez-Sanchez, Carla (55805941400); Sellers-Rubio, Ricardo (12753427600)","17345221000; 57191193783; 55805941400; 12753427600","Tourists’ water conservation behavior in hotels: the role of gender","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095764970&doi=10.1080%2f09669582.2020.1839758&partnerID=40&md5=5777b05009d89978b356cffcf6e81ade","Department of Marketing, University of Alicante, Alicante, Spain","Casado-Díaz A.B., Department of Marketing, University of Alicante, Alicante, Spain; Sancho-Esper F., Department of Marketing, University of Alicante, Alicante, Spain; Rodriguez-Sanchez C., Department of Marketing, University of Alicante, Alicante, Spain; Sellers-Rubio R., Department of Marketing, University of Alicante, Alicante, Spain","Hotels and destination managers are increasingly expressing concern about the impacts of climate change and sustainable water use, especially in crowded and water-scarce destinations. The aim of this study is to examine gender differences in hotel guests’ reported water conservation behavior (WCB) when on vacation. The study examines several factors that can potentially affect these gender differences, namely attitudes toward water conservation, normative and hedonic motives, destination problem awareness, and destination attachment. Data from a sample of 680 hotel guests reveal significant gender differences, with specific factors affecting the WCB of guests of each gender. Attitudes exert a positive influence on guests’ WCB. This influence is greater for women than for men. Normative motives also positively influence attitudes, although this effect is greater for men than for women. Conversely, hedonic motives negatively influence water conservation attitudes, and this effect is greater for women than for men. Lastly, destination problem awareness positively influences normative motives, while destination attachment negatively influences hedonic motives. No gender effect is found for these relationships. The implications for research and practice in sustainable tourism and pro-environmental behavior are presented. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","attitudes toward water conservation; destination attachment; destination problem awareness; Gender; in-room water conservation; normative and hedonic motives","09669582","","","2-s2.0-85095764970"
"Akhshik A.; Rezapouraghdam H.; Ozturen A.; Ramkissoon H.","Akhshik, Arash (57205318445); Rezapouraghdam, Hamed (57192666734); Ozturen, Ali (29567588800); Ramkissoon, Haywantee (18435318500)","57205318445; 57192666734; 29567588800; 18435318500","Memorable tourism experiences and critical outcomes among nature-based visitors: a fuzzy-set qualitative comparative analysis approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135776566&doi=10.1080%2f13683500.2022.2106196&partnerID=40&md5=c3cfeeaba51dcda6c5847f7859013fc5","Institute of Environmental Science, Faculty of Biology, Jagiellonian University, Kraków, Poland; School of Business and Economics, Linnaeus University, Kalmar, Sweden; Faculty of Tourism, Eastern Mediterranean University, Famagusta, Turkey; Centre for Contemporary Hospitality & Tourism, College of Business, Law & Social Science, University of Derby, Derby, United Kingdom; School of Business & Economics, Faculty of Fisheries & Biosciences, UiT The Arctic University of Norway, Tromsø, Norway; College of Business & Economics, University of Johannesburg, Johannesburg, South Africa","Akhshik A., Institute of Environmental Science, Faculty of Biology, Jagiellonian University, Kraków, Poland, School of Business and Economics, Linnaeus University, Kalmar, Sweden; Rezapouraghdam H., Faculty of Tourism, Eastern Mediterranean University, Famagusta, Turkey; Ozturen A., Faculty of Tourism, Eastern Mediterranean University, Famagusta, Turkey; Ramkissoon H., Centre for Contemporary Hospitality & Tourism, College of Business, Law & Social Science, University of Derby, Derby, United Kingdom, School of Business & Economics, Faculty of Fisheries & Biosciences, UiT The Arctic University of Norway, Tromsø, Norway, College of Business & Economics, University of Johannesburg, Johannesburg, South Africa","Intense global competition for natural resources, manifesting in negative environmental externalities, has forced hospitality and tourism stakeholders to adopt strategies that may result in economic growth in tandem with environmental conservation. One such strategy is to cultivate travellers’ loyalty to the tourism destinations and encourage them to participate in environmentally friendly activities. Using the affective theory of social exchange, social identity, stimulus–organism–response, tourism consumption system and attachment theories, this study proposes and tests a configurational model that predicts the antecedents of visitors’ pro-environmental behavioural intentions (PEBIs) regarding their desire to revisit (REVI) and recommend (RECI) the services that they experienced. Fuzzy-set qualitative comparative analysis was applied to assess the effect of memorable tourism experiences, place attachment, and demographics on these outcomes. The findings revealed that multiple configurations can predict visitors’ intentions at tourist destinations. This study’s implications for theory, practice, and future research directions are also discussed. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","memorable experiences; place attachment; Pro-environmental behaviour intention; recommendation intention; revisit intention","13683500","","","2-s2.0-85135776566"
"Pathak G.","Pathak, Gauri (56487363300)","56487363300","Plastic politics: industry stakeholders and the navigation of plastic control policy in India","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123442506&doi=10.1080%2f09644016.2021.2025301&partnerID=40&md5=2a615442b21b8cdd19a6c4e4f7edfa33","Department of Global Studies, Aarhus University, Denmark","Pathak G., Department of Global Studies, Aarhus University, Denmark","The logic of neoliberal environmentalism, which pervades global environmental governance, assumes that consumers’ pro-environmental behavior and choices drive change through the market. The issue of plastic pollution has emerged as a major global environmental challenge in the last decade, and it has not been immune to neoliberal logics. Actors within the plastic industry have long attempted to deflect regulatory attention and public scrutiny by placing responsibility for recycling and appropriate disposal onto consumers. Despite these efforts, plastic control discourses have been gaining ground. In this article, through the case study of India, I argue that stakeholder responses to these discourses and to plastic control policies are affected by the internal dynamics of the plastic sector. Moreover, as a result of these inter-sectoral dynamics, anticipatory changes in the market can be driven by anti-plastic discourses. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","anti-plastic discourses; India; neoliberal environmentalism; plastic control policy; plastic industry; Plastics","09644016","","","2-s2.0-85123442506"
"Fazal-e-Hasan S.M.; Ahmadi H.; Sekhon H.; Mortimer G.; Sadiq M.; Kharouf H.; Abid M.","Fazal-e-Hasan, Syed Muhammad (56323574300); Ahmadi, Hormoz (55954084000); Sekhon, Harjit (38762074000); Mortimer, Gary (49962027000); Sadiq, Mohd (57210171184); Kharouf, Husni (38761544400); Abid, Muhammad (57679739500)","56323574300; 55954084000; 38762074000; 49962027000; 57210171184; 38761544400; 57679739500","The role of green innovation and hope in employee retention","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129868079&doi=10.1002%2fbse.3126&partnerID=40&md5=d805a377223e4e571dcbf770a0a455fa","Peter Faber Business School, Australian Catholic University, North Sydney, NSW, Australia; Department of Marketing and Advertising, Coventry University, Coventry, United Kingdom; QUT Business School, Queensland University of Technology, Brisbane, QLD, Australia; Department of Marketing, Otago Business School, University of Otago, Dunedin, New Zealand; Department of Marketing, Macquarie Business School, Macquarie University, Sydney, NSW, Australia","Fazal-e-Hasan S.M., Peter Faber Business School, Australian Catholic University, North Sydney, NSW, Australia; Ahmadi H., Peter Faber Business School, Australian Catholic University, North Sydney, NSW, Australia; Sekhon H., Department of Marketing and Advertising, Coventry University, Coventry, United Kingdom; Mortimer G., QUT Business School, Queensland University of Technology, Brisbane, QLD, Australia; Sadiq M., Department of Marketing, Otago Business School, University of Otago, Dunedin, New Zealand; Kharouf H., Department of Marketing and Advertising, Coventry University, Coventry, United Kingdom; Abid M., Department of Marketing, Macquarie Business School, Macquarie University, Sydney, NSW, Australia","Green innovation is increasingly receiving attention in organisational behaviour and strategic management literature. However, understanding employee's preferences for organisations that have adopted innovative environmental practices have received little attention. This study tests a framework that examines the relationship between employees' preferences for innovative green organisations, hope, and intentions to stay. Data were collected from 403 employees in Australia. Results show that employees' preferences for green innovation drive the emotional state of employee hope, which has a positive effect on employees' intentions to stay with the organisation. This study offers implications for academics and managers, advancing the literature on green innovation, recruitment, retention, and organisational behaviour. © 2022 The Authors. Business Strategy and The Environment published by ERP Environment and John Wiley & Sons Ltd.","employee hope; green innovation; organisational behaviour; organisational performance; recruitment; retention","09644733","","","2-s2.0-85129868079"
"Pintassilgo P.; Pinto P.; Costa A.; Matias A.; Guimarães M.H.","Pintassilgo, Pedro (57199644800); Pinto, Patrícia (57873527200); Costa, Andreia (57223877048); Matias, António (57225313461); Guimarães, M. Helena (57206534296)","57199644800; 57873527200; 57223877048; 57225313461; 57206534296","Environmental attitudes and behaviour of birdwatchers: a missing link","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106234545&doi=10.1080%2f02508281.2021.1920755&partnerID=40&md5=99317a5aba43fe794d88822fe1f2bded","Faculty of Economics and Center for Advanced Studies in Management and Economics (CEFAGE), University of Algarve, Faro, Portugal; Faculty of Economics and Research Centre for Tourism, Sustainability and Well-being (CinTurs), University of Algarve, Faro, Portugal; Faculty of Economics, University of Algarve, Faro, Portugal; MED – Mediterranean Institute for Agriculture, Environment and Development, University of Évora, Évora, Portugal","Pintassilgo P., Faculty of Economics and Center for Advanced Studies in Management and Economics (CEFAGE), University of Algarve, Faro, Portugal; Pinto P., Faculty of Economics and Research Centre for Tourism, Sustainability and Well-being (CinTurs), University of Algarve, Faro, Portugal; Costa A., Faculty of Economics, University of Algarve, Faro, Portugal; Matias A., Faculty of Economics, University of Algarve, Faro, Portugal; Guimarães M.H., MED – Mediterranean Institute for Agriculture, Environment and Development, University of Évora, Évora, Portugal","Birdwatching is one of the fastest growing sectors of ecotourism. Managing this nature-based activity requires understanding birdwatchers’ attitudes and behaviour towards the natural environment. This paper proposes assessing these attitudes and the link to behavioural intentions by combining the New Environmental Paradigm (NEP) with a criterion-based segmentation method, the chi-squared automatic interaction detector (CHAID). This methodology was applied through a survey questionnaire to birdwatchers in the Ria Formosa Natural Park, a wetland located in South Portugal. The amount birdwatchers were willing to pay for an improvement in the environmental quality of the site, a behavioural intention variable, was used as the criterion in the CHAID analysis. Two birdwatcher segments willing to pay above average were identified and labelled as ‘environmental stewards’ and ‘birdwatching fans’. A key result that emerged from our study is that the NEP score is not a significant predictor of the willingness to pay for environmental improvement in the CHAID analysis. Hence, there is a missing link, as pro-environmental attitudes do not translate into pro-environmental behavioural intentions. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","Birdwatching; CHAID; environmental attitudes; environmental behaviour; New Environmental Paradigm","02508281","","","2-s2.0-85106234545"
"Meyer F.; Shamon H.; Vögele S.","Meyer, Frauke (57222466847); Shamon, Hawal (56463022900); Vögele, Stefan (6506708421)","57222466847; 56463022900; 6506708421","Dynamics and Heterogeneity of Environmental Attitude, Willingness and Behavior in Germany from 1993 to 2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143643265&doi=10.3390%2fsu142316207&partnerID=40&md5=0e131b5435d43f6a8ad85e9a102c7637","Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, Systemforschung und Technologische Entwicklung (IEK-STE), Jülich, 52425, Germany","Meyer F., Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, Systemforschung und Technologische Entwicklung (IEK-STE), Jülich, 52425, Germany; Shamon H., Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, Systemforschung und Technologische Entwicklung (IEK-STE), Jülich, 52425, Germany; Vögele S., Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, Systemforschung und Technologische Entwicklung (IEK-STE), Jülich, 52425, Germany","This paper analyzes environmental attitude, willingness, and behavior using a relatively broad range of survey items from the four Environment Modules of the International Social Survey Programme (ISSP) in Germany. The ISSP Environment Module is a repeated cross-sectional large-scale survey in Germany covering a period of nearly 30 years with four survey waves (1993, 2000, 2010, and 2020). We find that environmental attitude, willingness, and behavior are relatively stable between 1993 and 2010 in Germany. However, in the fourth wave, we find a significant upward trend in attitude and willingness compared to 2010—even though the COVID-19 pandemic was omnipresent at the time of the survey. This could indicate that climate change and environmental issues have gained such significance that they cannot easily be fully displaced by other major events, such as a pandemic. Moreover, we detect systematic heterogeneity in environmental attitude, willingness, and behavior predominantly with respect to respondents’ education, residential region, and political orientation but also some heterogeneity regarding gender, age, and income. Finally, we reveal that the dynamic of environmental attitude, willingness, and behavior also depends on certain socio-demographic characteristics, such as residential region, or political orientation. Our findings are essential for a better understanding of the social feasibility of transformation pathways towards a sustainable energy system. © 2022 by the authors.","energy transition pathways; environmental attitudes; heterogeneity analysis; pro-environmental behavior; sustainable energy system; willingness to pay","20711050","","","2-s2.0-85143643265"
"Stępień M.; Dudek M.","Stępień, Mateusz (57219368521); Dudek, Michał (57193958890)","57219368521; 57193958890","The courtroom as a built environment: On the usefulness of Amos Rapoport’s theoretical framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128938977&doi=10.35295%2fOSLS.IISL%2f0000-0000-0000-1230&partnerID=40&md5=b38ebd1b33798716c5ed23f2fcaff949","Department of Sociology of Law, Jagiellonian University, Poland","Stępień M., Department of Sociology of Law, Jagiellonian University, Poland; Dudek M., Department of Sociology of Law, Jagiellonian University, Poland","Amos Rapoport is one of the pioneers of the studies on the relationship between people and their environments. At the same time, analyzing the built environment as a factor co-determining human interactions in the courtroom tends to be more and more popular in literature. Following this line, the paper aims to consider whether Rapoport’s theoretical framework (especially its part related to non-verbal communication through the environment) could be fruitfully applied to the study of the courtroom in order to shed some light on the spatial, physical, or architectural aspects of the courtroom (which is treated as a particular environment). This paper offers a preliminary examination of the usefulness of Rapoport’s framework in reference to the courtroom interior. What needs to be stressed is that, rather than focusing on a given jurisdiction as a point of reference when elaborating on the usefulness of Rapoport’s framework, the authors try to examine its general applicability. © 2021, Onati International Institute for the Sociology of Law. All rights reserved.","Amos Rapoport; Communication in courtroom; Courtroom architecture; Environment-Behaviour Studies","20795971","","","2-s2.0-85128938977"
"Yi-Chi Chang Y.; Lin J.-H.; Hsiao C.-H.","Yi-Chi Chang, Yevvon (57225980132); Lin, Jo-Hui (12778938900); Hsiao, Chiu-Han (42161188100)","57225980132; 12778938900; 42161188100","Examining effective means to reduce food waste behaviour in buffet restaurants","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132422521&doi=10.1016%2fj.ijgfs.2022.100554&partnerID=40&md5=a361991ccb7e9040dd09ae0c0091187a","International Business Administration Programme, Tunghai University, Taiwan; National Chiayi University, Taiwan; Research Center for Information Technology Innovation, Academia Sinica, Taiwan","Yi-Chi Chang Y., International Business Administration Programme, Tunghai University, Taiwan; Lin J.-H., National Chiayi University, Taiwan; Hsiao C.-H., Research Center for Information Technology Innovation, Academia Sinica, Taiwan","“All you can eat” buffet restaurants are one of the most popular franchise restaurant styles in Asia. They offer the “treat” of customer-friendly unlimited food intake at the expense of environmentally harmful plate waste at the end of the meal. When the right “tricks” are employed, consumers’ wasteful, anti-environmental behaviours can be changed, with significant positive effects on food waste volume and restaurant earnings. A field experiment was conducted for this study. First, in Study 1, a test of both moral and financial interventions under two serving conditions was conducted for 360 subjects to find the most effective combination of interventions and serving styles in mitigating food waste volume. Second, building upon the findings from Study 1, a random sample of 45 female and 45 male subjects were examined to test the differential effects of consumer characteristics (gender, age, occupation, and dining purpose) on food waste behaviour. The results show that while management interventions were equally effective regardless of gender, age, and occupation, consumers dining for the purpose of sociability (as compared to dining simply for sustenance) were less affected by either moral or financial interventions. The study of food waste mitigation also provides insights into effective management interventions for environmentally friendly consumer behaviours in a wide range of hospitality industries. © 2022","Buffet restaurants; Consumer behaviour; Field experiment; Food waste; Sustainability","1878450X","","","2-s2.0-85132422521"
"Liu X.; Qin B.; Geng S.; Zhang J.; Zhu T.; Nie P.","Liu, Xingming (55858114800); Qin, Beibei (56559407900); Geng, Shuai (56073762300); Zhang, Jun (57984032300); Zhu, Tongsheng (57982859600); Nie, Pingjun (57207775570)","55858114800; 56559407900; 56073762300; 57984032300; 57982859600; 57207775570","Research on the Factors Influencing the Mechanism of Property Management Enterprises’ Ecological Behavior in China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142766063&doi=10.3390%2fsu142215211&partnerID=40&md5=fdc805e0594e1725744c6f7bc97f622c","School of Management Engineering, Shandong Jianzhu University, Jinan, 250101, China; School of Urban Economics and Management, Beijing University of Civil Engineering and Architecture, Beijing, 100044, China; School of Humanities, Beijing University of Civil, Engineering and Architecture, Beijing, 100044, China","Liu X., School of Management Engineering, Shandong Jianzhu University, Jinan, 250101, China; Qin B., School of Urban Economics and Management, Beijing University of Civil Engineering and Architecture, Beijing, 100044, China; Geng S., School of Management Engineering, Shandong Jianzhu University, Jinan, 250101, China; Zhang J., School of Management Engineering, Shandong Jianzhu University, Jinan, 250101, China; Zhu T., School of Management Engineering, Shandong Jianzhu University, Jinan, 250101, China; Nie P., School of Humanities, Beijing University of Civil, Engineering and Architecture, Beijing, 100044, China","The ecological behavior of property management enterprises is crucial to the performance of green buildings. The understanding of property management enterprises’ ecological behavior, however, is rather limited. The purpose of this paper is to analyze the mechanism of the affecting factors upon the ecological behavior of property management enterprises. The qualitative analysis method was used to collect and identify the influencing factors, which were further classified as those of stimulus, status, scenario, and result. A theoretical model of the action mechanism of influencing factors and related hypotheses has been constructed based on the planned behavior theory. The proposed hypotheses have been empirically analyzed by the quantitative analysis of a questionnaire survey. The results indicate that there are significant differences in ecological behavior implementation under different status factors, while the impact of enterprise nature on property management ecological behavior is not significant. Regarding the stimulus factors, market pressure and government regulation are the main external incentive factors. The scenario factors could be resistant forces and moderate the implementation of ecological behavior. For the result factors, property management enterprises pay attention to whether the implementation of ecological behavior can produce direct benefits. The research findings constitute valuable references for further development of the property management industry. © 2022 by the authors.","action mechanism; China; ecological behavior; influencing factors; property management; theoretical model","20711050","","","2-s2.0-85142766063"
"Spielman S.E.; Singleton A.D.","Spielman, Seth E. (35938922600); Singleton, Alex D. (25723810200)","35938922600; 25723810200","A Generalized Model of Activity Space","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133687369&doi=10.1080%2f24694452.2022.2077165&partnerID=40&md5=5a4ea08324c7a81c81dd69bfc1c72cd1","Department of Geography, University of Colorado, Microsoft, Inc, United States; Department of Geography and Planning, University of Liverpool, United Kingdom","Spielman S.E., Department of Geography, University of Colorado, Microsoft, Inc, United States; Singleton A.D., Department of Geography and Planning, University of Liverpool, United Kingdom","This article introduces the concept of a generalized activity space to bridge area-based and activity-based representations of geographic context. We argue that microscale space–time paths fail to account for contextual determinants of behavior, because they emphasize “contacts” over “contexts,” a problem that could be solved, in part, by using a broader “generalized” representation of geographic context. This article develops the idea of a generalized activity space and empirically tests the viability of the concept. Support for the viability of the idea is identified through analysis of 34,500 trips by 7,550 individuals in Atlanta. We find that demographic characteristics and residential location jointly shape a person’s geographic context. Through a series of hypothesis tests, we find evidence that these location–demographic groupings are generalizable; that is, people with similar socioeconomic backgrounds and residential locations exhibit similar generalized activity spaces. Residential location, by itself, however, is not an effective descriptor of the configuration of a person’s context. We argue that generalized activity spaces have potential to inform study of how the environment influences behavior by allowing a more robust consideration of interplay between socioeconomic characteristics and the use of space. © 2022 by American Association of Geographers.","activity space; context; environment-behavior; neighborhood effects","24694452","","","2-s2.0-85133687369"
"Cuadrado E.; Macias-Zambrano L.H.; Carpio A.J.; Tabernero C.","Cuadrado, E. (55454171100); Macias-Zambrano, L.H. (57225137478); Carpio, A.J. (55644240300); Tabernero, C. (6701370216)","55454171100; 57225137478; 55644240300; 6701370216","The moderating effect of collective efficacy on the relationship between environmental values and ecological behaviors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109320673&doi=10.1007%2fs10668-021-01611-w&partnerID=40&md5=fb578771dba2eb73747a8dbb902d2283","Maimonides Biomedical Research Institute of Cordoba (IMIBIC), Córdoba, Spain; Faculty of Education Sciences, University of Córdoba, Avenida San Alberto Magno S/N, Córdoba, 14071, Spain; Lay University Eloy Alfaro of Manabi, Manta, Ecuador; SaBIO group, Institute for Research in Hunting Resources IREC (CSIC-JCCM-UCLM), Ciudad Real, Spain; University of Salamanca, Salamanca, Spain; Neurosciences Institute of Castilla Y Leon (INCyL), Salamanca, Spain; Department of Zoology, University of Córdoba, Córdoba, Spain","Cuadrado E., Maimonides Biomedical Research Institute of Cordoba (IMIBIC), Córdoba, Spain, Faculty of Education Sciences, University of Córdoba, Avenida San Alberto Magno S/N, Córdoba, 14071, Spain; Macias-Zambrano L.H., Lay University Eloy Alfaro of Manabi, Manta, Ecuador; Carpio A.J., SaBIO group, Institute for Research in Hunting Resources IREC (CSIC-JCCM-UCLM), Ciudad Real, Spain, Department of Zoology, University of Córdoba, Córdoba, Spain; Tabernero C., University of Salamanca, Salamanca, Spain, Neurosciences Institute of Castilla Y Leon (INCyL), Salamanca, Spain","Sustainability implies improvements in responsible behaviors such as recycling and energy saving. Yet, ecological behaviors cannot be improved only by attending to personal variables; focus must also be put on the collective variables. The main aim of this research was to analyze how individual variables (environmental values) and collective variables (collective efficacy for ecological behavior) interact to explain recycling (Study 1; 502 students of Spanish universities) and energy-saving behaviors (Study 2; 544 students of Ecuadorian universities). Participants completed an online questionnaire that reflected all the studied variables. Ecological behaviors were collected through frequency scales. The results of the moderated analyses performed with Process for SPSS confirmed the moderating effect of collective efficacy in the relationship that both preservation and appreciation established with recycling and energy-saving behavior alike. This moderating effect was also confirmed in the relationship that utilization developed with recycling, but not with energy saving. Thus, collective efficacy directly influences pro-environmental behavior, but also interacts with the personal values of individuals. Consequently, the results indicate the need to encourage collective efficacy for ecological behaviors of individuals, groups, collectives, and communities. © 2021, The Author(s).","Appreciation of nature value; Collective efficacy; Energy saving; Preservation value; Recycling; Utilization value","1387585X","","EDSNB","2-s2.0-85109320673"
"Darvishmotevali M.; Altinay L.","Darvishmotevali, Mahlagha (57194720819); Altinay, Levent (6507918447)","57194720819; 6507918447","Green HRM, environmental awareness and green behaviors: The moderating role of servant leadership","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112499002&doi=10.1016%2fj.tourman.2021.104401&partnerID=40&md5=0cab9a0e86f494f82d8e5e133a934633","School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hong Kong; Faculty of Business, Oxford Brookes University, Oxford, OX3 0BP, UK, United Kingdom","Darvishmotevali M., School of Hotel and Tourism Management, Hong Kong Polytechnic University, Hong Kong; Altinay L., Faculty of Business, Oxford Brookes University, Oxford, OX3 0BP, UK, United Kingdom","Given the numerous environmental issues facing the hotel industry, there is growing pressure to respond to them by implementing sustainable strategies such as green human resource management (HRM) practices. Thus, there is a need to examine how green HRM enhances environmental performance. Accordingly, this study explores the causal relationship between green HRM, employees’ pro-environmental performance (P-EP), environmental awareness, and servant leadership. The data were collected from employees working in hotels in Almaty, Kazakhstan. Smart PLS was utilized to conduct validity and reliability tests and to design structural equation modeling. The findings show that environmental awareness mediates the impacts of green HRM on proactive P-EP, but does not support task-related P-EP. Also, servant leadership does not moderate the relationship between green HRM and task-related. Drawing on social exchange, social cognitive, and social learning theory, this study provides theoretical contributions, practical implications, and useful recommendations for managers and scholars in the hospitality industry. © 2021 Elsevier Ltd","Environmental awareness; Green HRM; Pro-environmental behaviors; Servant leadership","02615177","","","2-s2.0-85112499002"
